title,author,url,source,category,fact
The FTX trial is bigger than Sam Bankman-Fried,Elizabeth Lopatto,https://www.theverge.com/2023/9/28/23893269/ftx-sam-bankman-fried-trial-evidence-crypto,The Verge,technology,"Before his fall, Bankman-Fried made himself out to be the Good Boy of crypto — the trustworthy face of a sometimes-shady industry."
"SBF’s trial starts soon, but how did he — and FTX — get here?",Jacquelyn Melinek,https://techcrunch.com/2023/10/01/ftx-lawsuit-timeline/,TechCrunch,technology,"The highly anticipated criminal trial for Sam Bankman-Fried, former CEO of bankrupt crypto exchange FTX, started Tuesday to determine whether he’s guilty of seven counts of fraud and conspiracy."
"Sam Altman backs teens’ startup, Google unveils the Pixel 8 and TikTok tests an ad-free tier",Kyle Wiggers,https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/,TechCrunch,technology,"The prosecution painted Bankman-Fried as someone who knowingly committed fraud to achieve great wealth, power and influence, while the defense countered that the FTX founder acted in good faith, never meant to commit fraud or steal and basically got in over his head."
"Donald Trump defrauded banks with 'fantasy' to build his real estate empire, judge rules in a major repudiation against the former president","Michael R. Sisak, The Associated Press",https://fortune.com/2023/09/26/donald-trump-fraud-banks-insurers-real-estate-judge-new-york/,Fortune,business,"No apartment in New York City has ever sold for close to that amount, James said."
The $777 million surprise: Donald Trump is getting richer,Tom Maloney,https://www.theage.com.au/business/companies/the-777-million-surprise-donald-trump-is-getting-richer-20231108-p5eicf.html?ref=rss&utm_medium=rss&utm_source=rss_business,The Age,business,The prosecution argues that was to mask a drop in the value of one of his other properties.
OpenAI's ex-chairman accuses board of going rogue in firing Altman: 'Sam and I are shocked and saddened by what the board did',"Matt O'Brien, The Associated Press",https://fortune.com/2023/11/18/how-did-openai-fire-sam-altman-greg-brockman-rogue-board/,Fortune,business,"Altman’s exit “is indeed shocking as he has been the face of” generative AI technology, said Gartner analyst Arun Chandrasekaran."
WTF is going on at OpenAI? We have theories,Devin Coldewey,https://techcrunch.com/2023/11/17/wtf-is-going-on-at-openai-sam-altman-fired/,TechCrunch,technology,"Based on the board’s language and the way these giant tech companies work, this is the prevailing theory floating around right now."
"Here’s how Rainforest, a budding Stripe rival, aims to win over software companies",Christine Hall,https://techcrunch.com/2023/10/08/heres-how-rainforest-an-atlanta-fintech-startup-and-stripe-rival-aims-to-win-over-software-companies/,TechCrunch,technology,They really just want to be able to accept payments and generate more revenue from being able to do so.
How the conspiracy-fueled Epoch Times went mainstream and made millions,,https://www.nbcnews.com/news/us-news/epoch-times-falun-gong-growth-rcna111373,Hacker News,technology,"The group reported $76 million in subscription revenue in 2021, compared to nearly $7 million in 2019."
"2023 Kentucky online sports betting sites: Best legal sportsbooks, promos, bonuses, mobile apps, how to bet",CBS Sports Staff,https://www.cbssports.com/general/news/2023-kentucky-online-sports-betting-sites-best-legal-sportsbooks-promos-bonuses-mobile-apps-how-to-bet/,CBSSports.com,sports,New customers can get up to $1000 in bonus bets if they lose their first bet.
NBA Rookie of the Year Odds - Wembanyama the early favorite,Sam Eggleston,https://www.sportingnews.com/us/betting/news/nba-roty-odds/7af3a635d324b28ff4c554fd,Sporting News,sports,"Additionally, Caesars has a competitive welcome bonus for new players and runs NBA betting promos for existing players."
Vermont Sportsbook Promos and Sports Betting Launch News,Martin Harris,https://www.sportingnews.com/us/betting/news/vermont-sportsbook-promos/b4779ea9b7172cc57a201b0f,Sporting News,sports,"We expect Caesars to offer the same offer in VT is has elsewhere, with new sign-ups eligible to receive up to a $1,000 Bonus Bet if their first bet loses."
Is Sam Bankman-Fried a bad ‘man’ or a good ‘boy’? Lawyers swap opening statements before first witnesses take the stand,Ben Weiss,https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/,Fortune,business,"But “all of that, all of it, was built on lies,” Rehn declared to the jury."
"Sam Altman backs teens’ startup, Google unveils the Pixel 8 and TikTok tests an ad-free tier",Kyle Wiggers,https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/,TechCrunch,technology,"The prosecution painted Bankman-Fried as someone who knowingly committed fraud to achieve great wealth, power and influence, while the defense countered that the FTX founder acted in good faith, never meant to commit fraud or steal and basically got in over his head."
Twitch’s money guy talks about the revenue split controversy and its monetization long game,Morgan Sung,https://techcrunch.com/2023/10/26/twitch-mike-minton-chief-monetization-officer-twitchcon-2023-partner-plus-revenue-split/,TechCrunch,technology,"Last year, the company announced that it would end the 70/30 subscription revenue split deal that it had offered select streamers in favor of prioritizing ad revenue."
Beeper Mini is back in operation after Apple’s attempt to shut it down,Sarah Perez,https://techcrunch.com/2023/12/11/beeper-mini-is-back-in-operation-after-apples-attempt-to-shut-it-down/,TechCrunch,technology,"“As soon as things stabilize (we hope they will), we’ll look at turning on subscriptions again,” the blog post reads."
"Alcoholism, Ayahuasca and the Enlightenment of an N.F.L. Player",The New York Times,https://theathletic.com/5133811/2023/12/14/buffalo-bills-jordan-poyer-ayahuasca/,The New York Times,sports,"What he has done, according to former Bills defensive coordinator Les Frazier, now an analyst for NFL Network, is enable his defense to be the best it can by lifting others through versatility, sacrifice, toughness and communication."
"NFL power rankings: Lions, 49ers level up; Texans jump Bengals, Bills; Jets, Patriots sink to bottom for Week 11",Vinnie Iyer,https://www.sportingnews.com/us/nfl/news/nfl-power-rankings-lions-49ers-texans-jets-patriots/7b7ee6be935efc3c735d72ac,Sporting News,sports,"The defense needs to pick up the pieces, too, stat, ahead of facing the Bengals on a short week."
WTF is going on at OpenAI? We have theories,Devin Coldewey,https://techcrunch.com/2023/11/17/wtf-is-going-on-at-openai-sam-altman-fired/,TechCrunch,technology,"Despite being the hottest tech company in the world right now and everyone talking about ChatGPT, OpenAI isn’t exactly a sound business."
How the OpenAI fiasco could bolster Meta and the ‘open AI’ movement,Paul Sawers,https://techcrunch.com/2023/11/21/how-the-openai-fiasco-could-bolster-meta-and-the-open-ai-movement/,TechCrunch,technology,"It has been a whirlwind four days for OpenAI, the generative AI poster child behind the smash hit ChatGPT."
"One year later, ChatGPT is still alive and kicking",Kyle Wiggers,https://techcrunch.com/2023/11/30/one-year-later-chatgpt-is-still-alive-and-kicking/,TechCrunch,technology,"Indeed, ChatGPT became priority number one at OpenAI — not simply a one-off product but a development platform to build upon."
ChatGPT: Everything you need to know about the AI-powered chatbot,Alyssa Stringer,https://techcrunch.com/2023/09/28/chatgpt-everything-to-know-about-the-ai-chatbot/,TechCrunch,technology,OpenAI announced that GPT-4 with vision will become available alongside the upcoming launch of GPT-4 Turbo API.
5 things we learned so far about the Google antitrust case,Rebecca Bellan,https://techcrunch.com/2023/10/30/5-things-we-learned-so-far-about-the-google-antitrust-case/,TechCrunch,technology,"When Google’s search head Prabhakar Raghavan testified in court on October 28, he revealed that the tech giant had paid $26.3 billion in 2021 to multiple browsers, phones and platforms, from companies including Apple, Samsung and Mozilla, The Verge reports."
Apple defends Google Search deal in court: ‘There wasn’t a valid alternative’,David Pierce,https://www.theverge.com/2023/9/26/23891037/apple-eddy-cue-testimony-us-google,The Verge,technology,The Justice Department is focused on the deals Google makes — with Apple but also with Samsung and Mozilla and many others — to ensure it is the default search engine on practically every platform.
"News publisher files class action antitrust suit against Google, citing AI’s harms to their bottom line",Sarah Perez,https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/,TechCrunch,technology,"The case, filed by Arkansas-based publisher Helena World Chronicle, argues that Google “siphons off” news publishers’ content, their readers and ad revenue through anticompetitive means."
"‘Biggest win of my career’: De Minaur, Popyrin power Australia into Davis Cup final",Ian Chadband,https://www.theage.com.au/sport/tennis/biggest-win-of-my-career-de-minaur-popyrin-power-australia-into-davis-cup-final-20231125-p5emr5.html?ref=rss&utm_medium=rss&utm_source=rss_sport,The Age,sports,"“Hopefully we can go one better this year,” he added, recalling the 2-0 defeat by Canada in 2022."
"Where to watch England vs South Africa: Live stream, TV channel, lineups, odds for 2023 Rugby World Cup semifinal",Jonathan Burnett,https://www.sportingnews.com/us/rugby-union/news/watch-england-vs-south-africa-stream-channel-rugby-world-cup/20ce7b361138e7c1a1574572,Sporting News,sports,"England will no doubt be looking to echo the spirit of 2019, when they beat the All Blacks 19-7 to reach the final, but in South Africa, they face a side who have taken their game to new heights just to reach the semis."
"Sam Altman backs teens’ startup, Google unveils the Pixel 8 and TikTok tests an ad-free tier",Kyle Wiggers,https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/,TechCrunch,technology,"Turmoil at Flexport: Dave Clark, the former Amazon executive who was ousted as CEO of Flexport just a year into the job, fired back at its founder and board, calling recent reporting on the logistics company “deeply concerning.” Clark made the comments Monday in a lengthy post on social media site X following a report from CNBC that provided new information about his last days at Flexport, a freight forwarding and customs brokerage startup valued at $8 billion."
"Cruise hits the brakes on driverless, UAW makes progress and more EV backpedaling",Kirsten Korosec,https://techcrunch.com/2023/10/30/cruise-hits-the-brakes-on-driverless-uaw-makes-progress-and-more-ev-backpedaling/,TechCrunch,technology,"Petersen has spent the past month cutting costs, including laying off about 20% of its workers, or about 600 people."
The Crown: What is fact and what is fiction on season 6?,Isobel Lewis,https://www.independent.co.uk/arts-entertainment/tv/news/crown-season-6-fact-fiction-diana-b2449430.html,The Independent - Life and Style,entertainment,"After learning of Diana’s death from his father at the royal residence of Balmoral in Scotland, William (Rufus Kampa) is left heartbroken with grief and angry at his family’s response to it."
Fans react to most ‘heartbreaking’ scene in The Crown,Meredith Clark,https://www.independent.co.uk/life-style/royal-family/news/princess-diana-st-tropez-b2449049.html,The Independent - Life and Style,entertainment,"The latest installment takes place between the late 1990s to mid-2000s, and includes the lead-up to Princess Diana’s fatal Paris car crash in 1997."
Amazon’s iRobot purchase sucks up formal competition concerns in EU,Natasha Lomas,https://techcrunch.com/2023/11/27/eu-amazon-irobot-statement-of-objections/,TechCrunch,technology,We continue to work through the process with the European Commission and are focused on addressing its questions and any identified concerns at this stage.
European consumer groups band together to fight Meta’s self-serving ad-free sub — branding it ‘unfair’ and ‘illegal’,Natasha Lomas,https://techcrunch.com/2023/11/29/beuc-cpc-meta-complaint/,TechCrunch,technology,"The process also loops in the European Commission to help facilitate dialogue, assess issues and bring pressure to bear on unfair practices."
EU says incoming rules for general purpose AIs can evolve over time,Natasha Lomas,https://techcrunch.com/2023/12/11/eu-ai-act-gpai-rules-evolve/,TechCrunch,technology,"And some of these staff will also be deployed within the European Commission,” they added."
"Elon Musk’s X faces first DSA probe in EU over illegal content risks, moderation, transparency and deceptive UX design",Natasha Lomas,https://techcrunch.com/2023/12/18/x-dsa-probe/,TechCrunch,technology,Its earlier actions were focused on concerns about the spread of illegal content and disinformation related to the Israel-Hamas war.
ASX set to drop as Wall Street’s September slump deepens,Stan Choe,https://www.smh.com.au/business/markets/asx-set-to-drop-as-wall-street-s-september-slump-deepens-20230927-p5e7v7.html?ref=rss&utm_medium=rss&utm_source=rss_business,The Sydney Morning Herald,business,Amazon tumbled 4 per cent after the Federal Trade Commission and 17 state attorneys general filed an antitrust lawsuit against it.
78 Absolute Best October Prime Day Deals (2023),Scott Gilbertson,https://www.wired.com/story/best-october-prime-day-deals-2023-5/,Wired,technology,"During Prime Day this past summer, Amazon introduced invite-only deals—a system to help make it easier for Prime members to access deals that are expected to sell out quickly—and the company brought it back for Prime Big Deal Days."
Here are the best Kindle deals right now,Sheena Vasani,https://www.theverge.com/21539047/best-amazon-kindle-deals,The Verge,technology,"Amazon, one of the pioneers of the e-reader, has dominated the space for years with its ever-expanding Kindle lineup, which consists of several unique models with their own pros and cons."
Amazon sellers sound off on the FTC's 'long-overdue' antitrust case,,https://www.cnbc.com/2023/10/06/amazon-sellers-sound-off-on-the-ftcs-long-overdue-antitrust-case.html,Cnbc | World Business News Leader,business,"“Selling on Amazon is a life-changing opportunity and the amount of sellers that throw stones at the platform is astounding,” one user wrote."
The people who ruined the internet,Amanda Chicago Lewis,https://www.theverge.com/features/23931789/seo-search-engine-optimization-experts-google-results,The Verge,technology,"The company did accomplish that goal, but in doing so, it inadvertently and profoundly changed how the internet looked."
"Epic v. Google, explained",Sean Hollister,https://www.theverge.com/23944251/epic-google-antitrust-trial-explainer-monopoly,The Verge,technology,"This whole line of argument is called “market definition.” If the court decides the relevant market is phones and app stores, not specifically Android ones, then Google’s on the road to victory."
"News publisher files class action antitrust suit against Google, citing AI’s harms to their bottom line",Sarah Perez,https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/,TechCrunch,technology,"The case, filed by Arkansas-based publisher Helena World Chronicle, argues that Google “siphons off” news publishers’ content, their readers and ad revenue through anticompetitive means."
"Cowboys vs. 49ers live score, updates, highlights from NFL 'Sunday Night Football' game",Dan Treacy,https://www.sportingnews.com/us/nfl/news/cowboys-49ers-live-score-highlights-sunday-night-football/e46d8e03c6a948aa82f859c3,Sporting News,sports,"Fans can also stream the game via Peacock or NBCSports.com with a subscription, along with Fubo, which offers a free trial."
Watch great noir this Noirvember,Tasha Robinson,https://www.polygon.com/what-to-watch/23959772/best-noir-movies-watch-streaming-neo-noir,Polygon,entertainment,"Where to watch: Streaming free with ads on Tubi, and free with a library card on Kanopy."
NBA Rookie of the Year Odds - Wembanyama the early favorite,Sam Eggleston,https://www.sportingnews.com/us/betting/news/nba-roty-odds/7af3a635d324b28ff4c554fd,Sporting News,sports,We urge you to read the requirements for any available promotions and offers before accepting them so you’re aware of any restrictions before betting.
